MSE,Frequency,Estimator
0.0001718,1,Welsch
0.0001796,1,Welsch
0.0001874,8,Welsch
0.0001953,25,Welsch
0.0002031,50,Welsch
0.0002109,188,Welsch
0.0002188,360,Welsch
0.0002266,621,Welsch
0.0002345,903,Welsch
0.0002423,1151,Welsch
0.0002501,1185,Welsch
0.0002580,1001,Welsch
0.0002658,697,Welsch
0.0002736,412,Welsch
0.0002815,228,Welsch
0.0002893,99,Welsch
0.0002971,42,Welsch
0.0003050,23,Welsch
0.0003128,4,Welsch
0.0003311,2,Huber
0.0003434,6,Huber
0.0003558,18,Huber
0.0003681,30,Huber
0.0003804,95,Huber
0.0003928,165,Huber
0.0004051,278,Huber
0.0004175,363,Huber
0.0004298,458,Huber
0.0004421,437,Huber
0.0004545,417,Huber
0.0004668,341,Huber
0.0004792,224,Huber
0.0004915,126,Huber
0.0005039,74,Huber
0.0005162,48,Huber
0.0005285,11,Huber
0.0005409,3,Huber
0.0005532,3,Huber
