sigma;quad_error
1.0;0.00032160813586031505
1.4142135623730951;0.000269507508454919
1.7320508075688772;0.0002470807791734683
2.0;0.00023511719361882263
2.23606797749979;0.00022826183084397327
2.449489742783178;0.00022435423333337117
2.6457513110645907;0.00022234055272661455
2.8284271247461903;0.00022164065234854473
3.0;0.00022190755200295623
3.1622776601683795;0.0002229206382194933
3.3166247903554;0.00022453276204368236
3.4641016151377544;0.0002266423666184968
3.605551275463989;0.00022917768369455147
3.7416573867739413;0.0002320870479249407
3.872983346207417;0.00023533286136354832
4.0;0.00023888756774452657
4.123105625617661;0.00024273094149809504
4.242640687119285;0.0002468490315961943
4.358898943540674;0.00025123159070336045
4.47213595499958;0.00025587241006004644
4.58257569495584;0.0002607676923511932
4.69041575982343;0.00026591651616056155
4.795831523312719;0.00027131940130230634
4.898979485566356;0.0002769790035602859
5.0;0.0002828993537317392
5.0990195135927845;0.00028908571831067636
5.196152422706632;0.00029554479847502814
5.291502622129181;0.0003022846928021806
5.385164807134504;0.00030931434628642346
5.477225575051661;0.0003166440299399049
5.5677643628300215;0.00032428494851578565
5.656854249492381;0.0003322497361568775
5.744562646538029;0.0003405517277201599
5.830951894845301;0.0003492057516746962
5.916079783099616;0.0003582282056774299
6.0;0.00036763594126939966
6.082762530298219;0.0003774478476768632
6.164414002968976;0.0003876840606549183
6.244997998398398;0.000398366277571649
6.324555320336759;0.000409517478886941
6.4031242374328485;0.00042116277571226595
6.48074069840786;0.00043332893541458674
6.557438524302;0.00044604487199955615
6.6332495807108;0.00045934148696905296
6.708203932499369;0.00047325219478494237
6.782329983125268;0.00048781247529703774
6.855654600401044;0.0005030609608527637
6.928203230275509;0.0005190387270319648
7.0;0.0005357908984725089
7.0710678118654755;0.0005533647326470763
7.14142842854285;0.0005718120502804976
7.211102550927978;0.0005911883485286738
7.280109889280518;0.0006115539083280053
7.3484692283495345;0.0006329727061254666
7.416198487095663;0.0006555149158503152
7.483314773547883;0.0006792550009147308
7.54983443527075;0.0007042737031152054
7.615773105863909;0.0007306589632832682
7.681145747868608;0.0007585042037940813
7.745966692414834;0.0007879112150894652
7.810249675906654;0.0008189882745181068
7.874007874011811;0.0008518533657353386
7.937253933193772;0.0008866318561979228
8.0;0.0009234592665172133
8.06225774829855;0.0009624803315089222
8.12403840463596;0.0010038487544024944
8.18535277187245;0.0010477310516773686
8.246211251235321;0.0010943017523512967
8.306623862918075;0.0011437481561845542
8.366600265340756;0.001196266566344965
8.426149773176359;0.00125206375433511
8.48528137423857;0.0013113602246888408
8.54400374531753;0.0013743834287918621
8.602325267042627;0.001441368888432611
8.660254037844387;0.0015125650625438393
8.717797887081348;0.001588222500760829
8.774964387392123;0.0016685998072750576
8.831760866327848;0.0017539556046752415
8.888194417315589;0.0018445530655780776
8.94427190999916;0.0019406521805103761
9.0;0.002042505436826085
9.055385138137417;0.0021503644913522155
9.1104335791443;0.002264466876014457
9.16515138991168;0.0023850389338554217
9.219544457292887;0.0025122920814435574
9.273618495495704;0.0026464180172132185
9.327379053088816;0.002787582025518093
9.38083151964686;0.002935940466919954
9.433981132056603;0.0030916178951896594
9.486832980505138;0.003254721986199046
9.539392014169456;0.0034253351979962494
9.591663046625438;0.0036035257888688125
9.643650760992955;0.0037893414246853636
9.695359714832659;0.003982815973618824
9.746794344808963;0.004183974013378857
9.797958971132712;0.0043928050532453505
9.848857801796104;0.004609243802032337
9.899494936611665;0.004833159982584655
9.9498743710662;0.005064386889271383
