delta,Error,std,itterations
0.0,0.0003273670079222708,0.031024599361079833,14.6558
0.01,0.0002531945939203392,0.02736860428171104,14.368
0.02,0.00026697866249394535,0.026181996892470943,14.6044
0.03,0.00044903541537376205,0.025117780177582323,15.543800000000001
0.04,0.0002958609404108394,0.024412972044951728,16.1526
0.05,0.0002442116274044325,0.024021199093366096,17.8214
0.06,0.00034534550825178744,0.023732988182354236,18.0796
0.07,0.00020755122745018208,0.02353265871288968,19.177
0.08,0.00036715972767222894,0.023223897546129496,20.123
0.09,0.00038694646168174263,0.023149148300123136,24.4732
0.1,0.00030179956518844596,0.022967729164221354,25.3632
0.11,0.00024968003968671584,0.022800143734996215,25.863799999999998
